experimentNumber,easyAxisOrientation,x,y,orientationEstimate,estimationError
1,24,0.0,0.0,22.018302176796066,-1.981697823203934
2,24,-0.00403,-0.00849,20.647809713640118,-3.352190286359882
3,24,-0.00577,-0.00318,22.237982735243836,-1.7620172647561638
4,24,0.00088,-0.00557,20.590720164833005,-3.409279835166995
5,24,0.00316,0.00121,21.53315439428329,-2.46684560571671
6,24,0.00763,0.00886,26.219915321666974,2.2199153216669743
7,24,0.00869,-0.00764,22.981434042506937,-1.0185659574930632
8,24,0.00074,-0.00344,21.475056608813908,-2.524943391186092
9,24,-0.00659,0.00095,22.05716365535557,-1.9428363446444301
10,24,0.00165,-0.0075,19.687693109333768,-4.312306890666232
11,24,0.00255,-0.00267,21.537991929106415,-2.462008070893585
12,24,-0.00753,0.00161,20.76276682741508,-3.2372331725849186
13,24,0.0058,-5.0e-5,22.428394544915065,-1.571605455084935
14,24,-0.0016,-0.00386,21.472748141112817,-2.5272518588871833
15,24,0.00797,0.00776,23.60022631131034,-0.3997736886896597
16,24,0.00307,0.00401,21.76672383083385,-2.2332761691661496
17,24,-0.00107,0.00445,21.316326613430444,-2.6836733865695557
18,24,0.00536,0.00338,23.557224979792565,-0.442775020207435
19,24,-0.00329,0.0002,22.20448792338193,-1.7955120766180706
20,24,-0.00855,0.00762,23.661577701757704,-0.3384222982422962
21,24,0.00273,0.00644,24.5605447608612,0.5605447608612018
22,25,0.0,0.0,23.192035568111166,-1.8079644318888342
23,25,-0.00403,-0.00849,21.666086313097416,-3.3339136869025836
24,25,-0.00577,-0.00318,22.375665451615877,-2.624334548384123
25,25,0.00088,-0.00557,20.299526493231212,-4.7004735067687875
26,25,0.00316,0.00121,21.484697803682494,-3.5153021963175064
27,25,0.00763,0.00886,25.378253358788122,0.37825335878812183
28,25,0.00869,-0.00764,22.54683486887053,-2.45316513112947
29,25,0.00074,-0.00344,22.709149607720224,-2.2908503922797756
30,25,-0.00659,0.00095,22.895197144560015,-2.104802855439985
31,25,0.00165,-0.0075,19.483494973354226,-5.516505026645774
32,25,0.00255,-0.00267,22.33486088369343,-2.6651391163065696
33,25,-0.00753,0.00161,20.009809208914934,-4.990190791085066
34,25,0.0058,-5.0e-5,24.322540413265475,-0.6774595867345248
35,25,-0.0016,-0.00386,22.86534678607123,-2.1346532139287717
36,25,0.00797,0.00776,23.032091567664736,-1.967908432335264
37,25,0.00307,0.00401,21.79843739946183,-3.201562600538171
38,25,-0.00107,0.00445,21.552233272260732,-3.4477667277392676
39,25,0.00536,0.00338,23.22425850607395,-1.7757414939260485
40,25,-0.00329,0.0002,23.268137753266476,-1.7318622467335238
41,25,-0.00855,0.00762,23.33559923971146,-1.6644007602885402
